Name,ANOVA Decision Tree Regressor,Decision Tree Classifier,Random Forest Classifier,Random Forest Regressor,SVM Classifier,SVM Classifier - K=5 best,MLP Classifier - Adam,MLP Classifier - LBFGS,
Accuracy,R2:-0.28326996197718635; MSE:1.08; MAE:0.84,0.68,0.56,R2:0.3723574144486691; MSE:0.528224; MAE:0.6496000000000001,0.36,0.72,0.48,0.44,
Time,0.0010050269999999984,0.0009646989999999889,0.009591735000000004,0.007072284999999994,0.0014184090000000005,0.00022274400000000583,0.0009613099999999974,0.000914161999999994,
Number of Turns,0.0,0.0,0.04809126538993639,0.01893395328684812,,,,,
Player 1 Turn Taking,0.14222222222222253,0.0,0.03726130506199902,0.04044580730626201,,,,,
Player 2 Turn Taking,0.0,0.1568627450980392,0.03543698868748954,0.0076255685465171676,,,,,
Player 3 Turn Taking,0.0,0.0,0.028922260640466147,0.010905937679479456,,,,,
Player 4 Turn Taking,0.0,0.1505882352941176,0.042182780363319336,0.02012445858130352,,,,,
Player 1 SA Average,0.0,0.0,0.06887650668211642,0.04305412368471223,,,,,
Player 2 SA Average,0.0,0.3568627450980392,0.11896662022346906,0.18694669954923923,,,,,
Player 3 SA Average,0.0,0.0,0.08160660755025383,0.0285515601861049,,,,,
Player 4 SA Average,0.6349206349206354,0.19675070028011202,0.1067092130018778,0.3131028766077534,,,,,
SA 3 Turn Taking,0.0,0.0,0.04692902779439681,0.027359199851197925,,,,,
SA 4 Turn Taking,0.0,0.0,0.06151764543606194,0.022343991950253255,,,,,
SA 5 Turn Taking,0.0,0.1389355742296919,0.033803440310966694,0.035126513886261215,,,,,
SA 6 Turn Taking,0.0,0.0,0.035772507054225494,0.03723494101380715,,,,,
Positive Sentiment Rating,0.0,0.0,0.03388348778681086,0.007049107125603035,,,,,
Negative Sentiment Rating,0.14285714285714204,0.0,0.12348677978461034,0.1849423188768938,,,,,
Neutral Sentiment Rating,0.0,0.0,0.04774361002594879,0.010137119898648237,,,,,
Compound Sentiment Rating,0.07999999999999984,0.0,0.04880995420605147,0.0061158219691153795,,,,,
